T [ Â°C],Campo solar,"(C1,C2, P1)","(HTR,Col,Eva,Rec,LTR, Con)","(T1,T2,T3)",Calentador/Recalentador,Total
500,54.8635649372,1.7025815993,6.0717530106,2.010401739,35.351698714,100
550,56.0772170852,1.597522507,6.3179577542,1.9087894164,34.0985132372,100
600,57.2198596352,1.4971862945,6.5383302661,1.8077340999,32.9368897042,100
650,58.3120004459,1.4003255848,6.7174269549,1.706930875,31.8633161394,100
700,59.3711560907,1.3059039955,6.8440003415,1.6059079789,30.8730315934,100
750,60.4129088797,1.2130270838,6.9090178812,1.5040951293,29.960951026,100
800,61.4516402355,1.1208952315,6.904459481,1.4008462222,29.1221588299,100
850,62.5010668915,1.0287698798,6.8225445642,1.2954739407,28.3521447238,100
900,63.5746863643,0.9359464714,6.6551963875,1.1872390851,27.6469316917,100
